AuditId,PID,Manufacturer,Model,SerialNumber,Description
15021026,4421175,DELL,AL15SEB060NY,Y8D0A04LFQWF,2.5 Hard Drive
15021026,4421176,DELL,AL15SEB060NY,89K0A0K8FQWF,2.5 Hard Drive
15021026,4421177,DELL,AL15SEB060NY,89K0A0K2FQWF,2.5 Hard Drive
15021026,4421178,DELL,AL15SEB060NY,89K0A0MNFQWF,2.5 Hard Drive
15021026,4421179,DELL,AL15SEB060NY,Y8D0A00XFQWF,2.5 Hard Drive
15021026,4421180,DELL,AL15SEB060NY,89L0A0CHFQWF,2.5 Hard Drive
15021026,4421181,DELL,AL15SEB060NY,89L0A0C6FQWF,2.5 Hard Drive
15021026,4421182,DELL,AL15SEB060NY,89K0A0LLFQWF,2.5 Hard Drive
15021026,4421183,DELL,AL15SEB060NY,5190A09YFEHE,2.5 Hard Drive
15021026,4421184,DELL,AL15SEB060NY,90P0A015FEHE,2.5 Hard Drive
15021026,4421185,HP,EH0146FCBVB,93t0a01jfrq1,2.5 Hard Drive
15021026,4421186,HP,EH0146FCBVB,93t0a01yfrq1,2.5 Hard Drive
15021026,4421187,DELL,AL15SEB060NY,89L0A0EDFQWF,2.5 Hard Drive
15021026,4421188,DELL,AL15SEB060NY,Y8D0A005FQWF,2.5 Hard Drive
15021026,4421189,DELL,AL15SEB060NY,Y8D0A017FQWF,2.5 Hard Drive
15021026,4421190,DELL,AL15SEB060NY,89K0A0LEFQWF,2.5 Hard Drive
15021026,4421191,DELL,AL15SEB060NY,Y8D0A032FQWF,2.5 Hard Drive
15021026,4421192,DELL,AL15SEB060NY,89L0A0BGFQWF,2.5 Hard Drive
15021026,4421193,DELL,AL15SEB060NY,HDEBL84DAB51,2.5 Hard Drive
15021026,4421194,DELL,AL15SEB060NY,HDEBL84DAB51,2.5 Hard Drive
15021026,4421195,DELL,AL15SEB060NY,HDEBL84DAB51,2.5 Hard Drive
15021026,4421196,HP,EH0146FARUB,d301pba0gvm8,2.5 Hard Drive
15021026,4421197,HP,EH0146FARUB,d301pb40byuf,2.5 Hard Drive
15021026,4421198,HP,EH0072FARWC,pkvsjzze,2.5 Hard Drive
15021026,4421199,HP,EH0072FARWC,PKVSK0LE,2.5 Hard Drive
15021026,4421200,HP,EH0300FBQDD,6xn0xtj4,2.5 Hard Drive
15021026,4421201,DELL,ST9500620NS,9XF08QRG,2.5 Hard Drive
15021026,4421202,HP,EG0300FBDBR,pmv45gnb,2.5 Hard Drive
15021026,4421203,HP,EH0146FARWD,PLYRM9XE,2.5 Hard Drive
15021026,4421204,HP,EH0146FARWD,PLYRN8RE,2.5 Hard Drive
15021026,4421205,HP,EH0146FARWD,PLYRLHKE,2.5 Hard Drive
15021026,4421206,HP,EH0146FARWD,PLYRLL1E,2.5 Hard Drive
15021026,4421207,HP,EH0146FARWD,PLYRJELE,2.5 Hard Drive
15021026,4421208,HP,EH0146FARWD,PLYRJ8PE,2.5 Hard Drive
15021026,4421209,DELL,AL14SEB060NY,Y770A00BFL4E,2.5 Hard Drive
15021026,4421210,DELL,AL14SEB060NY,X7V0A072FL3E,2.5 Hard Drive
15021026,4421211,DELL,AL14SEB060NY,X7V0A068FL3E,2.5 Hard Drive
15021026,4421212,DELL,AL14SEB060NY,Y770A00YFL4E,2.5 Hard Drive
15021026,4421213,DELL,ST2000NX0463,W460PJBP,2.5 Hard Drive
15021026,4421214,DELL,ST2000NX0463,W460PM3K,2.5 Hard Drive
15021026,4421215,DELL,ST2000NX0463,w460pj0g,2.5 Hard Drive
15021026,4421216,DELL,ST2000NX0463,W460PPWY,2.5 Hard Drive
15021026,4421217,DELL,ST2000NX0463,W460PJ06,2.5 Hard Drive
15021026,4421218,DELL,ST2000NX0463,W460P75Q,2.5 Hard Drive
15021026,4421219,DELL,ST2000NX0463,W460P948,2.5 Hard Drive
15021026,4421220,DELL,ST2000NX0463,W460P6TQ,2.5 Hard Drive
15021026,4421221,DELL,ST2000NX0463,W4633N2E,2.5 Hard Drive
15021026,4421222,DELL,ST2000NX0463,W460PPYC,2.5 Hard Drive
15021026,4421223,DELL,ST2000NX0463,W460PQFH,2.5 Hard Drive
15021026,4421224,DELL,ST2000NX0463,W460NYDB,2.5 Hard Drive
15021026,4421225,LENOVO,AL15SEB060N,90e0a101fhsf,2.5 Hard Drive
15021026,4421226,LENOVO,AL15SEB060N,11q0a0myfhsf,2.5 Hard Drive
15021026,4421227,LENOVO,AL15SEB060N,31x0a03kfhsf,2.5 Hard Drive
15021026,4421228,LENOVO,AL15SEB060N,11q0a0lvfhsf,2.5 Hard Drive
15021026,4421229,DELL,AL15SEB060NY,89K0A0MWFQWF,2.5 Hard Drive
15021026,4421230,DELL,ST2400MM0159,WBM1E42W,2.5 Hard Drive
15021026,4421231,DELL,ST2400MM0159,WBM1DYQK,2.5 Hard Drive
15021026,4421232,DELL,ST2400MM0159,WBM1E9VB,2.5 Hard Drive
15021026,4421233,DELL,ST2400MM0159,WBM1E4N9,2.5 Hard Drive
15021026,4421234,DELL,ST2400MM0159,WBM1E9VW,2.5 Hard Drive
15021026,4421235,DELL,ST2400MM0159,WBM1EAJK,2.5 Hard Drive
15021026,4421236,DELL,ST2400MM0159,WBM1E9VL,2.5 Hard Drive
15021026,4421237,DELL,ST2400MM0159,WBM19LME,2.5 Hard Drive
15021026,4421238,DELL,ST2400MM0159,WBM1E5J6,2.5 Hard Drive
15021026,4421239,DELL,ST2400MM0159,WBM1E9TD,2.5 Hard Drive
15021026,4421240,DELL,ST2000NX0463,W460P6G1,2.5 Hard Drive
15021026,4421241,DELL,ST2000NX0463,W460PQ4K,2.5 Hard Drive
15021026,4421242,DELL,ST2000NX0463,W460PJD1,2.5 Hard Drive
15021026,4421243,DELL,ST2000NX0463,W460PPZ8,2.5 Hard Drive
15021026,4421244,DELL,ST2000NX0463,W460PPK2,2.5 Hard Drive
15021026,4421245,DELL,ST2000NX0463,W460PLN8,2.5 Hard Drive
15021026,4421246,DELL,ST2000NX0463,W460PQM0,2.5 Hard Drive
15021026,4421247,DELL,ST2000NX0463,W460PQTC,2.5 Hard Drive
15021026,4421248,DELL,ST2000NX0463,W460PQLB,2.5 Hard Drive
15021026,4421249,DELL,ST2000NX0463,W460P72H,2.5 Hard Drive
15021026,4421250,DELL,ST2000NX0463,W460PJC4,2.5 Hard Drive
15021026,4421251,DELL,ST2000NX0463,W460P6GH,2.5 Hard Drive
15021026,4421252,DELL,ST2000NX0463,W460NSHD,2.5 Hard Drive
15021026,4421253,DELL,ST2000NX0463,W460PPHD,2.5 Hard Drive
15021026,4421254,DELL,ST2000NX0463,W460PM1A,2.5 Hard Drive
15021026,4421255,DELL,ST2000NX0463,W460PJ08,2.5 Hard Drive
15021026,4421256,DELL,ST2000NX0463,W460NZ6F,2.5 Hard Drive
15021026,4421257,DELL,ST2000NX0463,W460PLQ6,2.5 Hard Drive
15021026,4421258,DELL,ST2000NX0463,W460NQX4,2.5 Hard Drive
15021026,4421259,DELL,ST2000NX0463,W460PMLQ,2.5 Hard Drive
15021026,4421260,DELL,ST2000NX0463,W460PLRH,2.5 Hard Drive
15021026,4421261,DELL,ST2000NX0463,W460P765,2.5 Hard Drive
15021026,4421262,DELL,ST2000NX0463,W460PKDT,2.5 Hard Drive
15021026,4421263,DELL,ST2000NX0463,W460PQGE,2.5 Hard Drive
15021026,4421264,DELL,ST2000NX0463,W460PM0V,2.5 Hard Drive
15021026,4421265,DELL,ST2000NX0463,W460PLXH,2.5 Hard Drive
15021026,4421266,DELL,ST2000NX0463,W460PJDX,2.5 Hard Drive
15021026,4421267,DELL,ST2000NX0463,W460P74K,2.5 Hard Drive
15021026,4421268,DELL,ST2000NX0463,W460P87F,2.5 Hard Drive
15021026,4421269,DELL,ST2000NX0463,W460P1K7,2.5 Hard Drive
15021026,4421270,DELL,ST2000NX0463,W46338YX,2.5 Hard Drive
15021026,4421271,DELL,ST2000NX0463,W460PLSE,2.5 Hard Drive
15021026,4421272,DELL,ST2000NX0463,W460PPJ3,2.5 Hard Drive
15021026,4421273,DELL,ST2000NX0463,W460PMPW,2.5 Hard Drive
15021026,4421274,DELL,ST2000NX0463,W460PP7L,2.5 Hard Drive
15021026,4421275,DELL,HUC101860CSS204,0BGZHM9F,2.5 Hard Drive
15021026,4421276,DELL,HUC101860CSS204,0BGZW49F,2.5 Hard Drive
15021026,4421277,DELL,HUC101860CSS204,03H099TB,2.5 Hard Drive
15021026,4421278,LENOVO,AL15SEB060N,0BGZS5KF,2.5 Hard Drive
15021026,4421279,DELL,HUC101860CSS204,0BGZHKHF,2.5 Hard Drive
15021026,4421280,DELL,HUC101860CSS204,03GMMG7A,2.5 Hard Drive
15021026,4421281,DELL,HUC101860CSS204,0BGZSZVF,2.5 Hard Drive
15021026,4421282,DELL,HUC101860CSS204,0BGZTRGF,2.5 Hard Drive
15021026,4421283,DELL,HUC101860CSS204,03GMNLNA,2.5 Hard Drive
15021026,4421284,DELL,HUC101860CSS204,03GTTS1B,2.5 Hard Drive
15021026,4421285,DELL,HUC101860CSS204,03GMMR4A,2.5 Hard Drive
15021026,4421286,DELL,HUC101860CSS204,03GMLZYA,2.5 Hard Drive
15021026,4421287,DELL,HUC101860CSS204,03GMLU5A,2.5 Hard Drive
15021026,4421288,DELL,HUC101860CSS204,03GMNX1A,2.5 Hard Drive
15021026,4421289,DELL,HUC101860CSS204,03GMRJYA,2.5 Hard Drive
15021026,4421290,DELL,HUC101860CSS204,03GMNZ1A,2.5 Hard Drive
